id,user_id,riddle_1,riddle_2,riddle_3,riddle_4,riddle_5,riddle_6,riddle_7,time
127,171,20,30,-1,-1,-1,50,-1,2020-12-19 12:28:13
128,174,37,30,-1,-1,-1,50,-1,2020-12-19 12:37:05
129,179,1,30,-1,-1,-1,99,-1,2020-12-19 12:38:33
130,180,0.333333,30,-1,-1,-1,98,-1,2020-12-19 12:38:55
131,176,33.3333,30,-1,-1,-1,97,-1,2020-12-19 12:39:08
132,176,33.3333,30,-1,-1,-1,97,-1,2020-12-19 12:39:08
133,189,0.166667,30,-1,-1,-1,99.8,-1,2020-12-19 12:41:07
134,186,0.333333,30,-1,-1,-1,99,-1,2020-12-19 12:41:44
135,183,0.88,28,-1,-1,-1,50,-1,2020-12-19 12:41:51
136,188,0.5,30,-1,-1,-1,99,-1,2020-12-19 12:42:31
137,178,0.875,30,-1,-1,-1,100,-1,2020-12-19 12:43:43
138,196,50,30,-1,-1,-1,99,-1,2020-12-19 12:44:10
139,200,1,30,-1,-1,-1,99,-1,2020-12-19 12:44:14
140,195,3,30,-1,-1,-1,100,-1,2020-12-19 12:44:44
141,197,0.333333,30,-1,-1,-1,98,-1,2020-12-19 12:45:30
142,204,33,30,-1,-1,-1,99,-1,2020-12-19 12:46:03
143,203,0.333333,30,-1,-1,-1,99,-1,2020-12-19 12:46:36
144,201,0.333333,30,-1,-1,-1,99,-1,2020-12-19 12:48:13
145,210,78,30,-1,-1,-1,99,-1,2020-12-19 12:49:31
146,213,50,30,-1,-1,-1,100,-1,2020-12-19 12:49:34
147,223,0.5,30,-1,-1,-1,98,-1,2020-12-19 12:51:03
148,224,0.333333,30,-1,-1,-1,0.98,-1,2020-12-19 12:53:08
149,226,0.333333,30,-1,-1,-1,99,-1,2020-12-19 12:53:42
150,239,0.333333,30,-1,-1,-1,0.98,-1,2020-12-19 12:54:27
151,235,3,30,-1,-1,-1,100,-1,2020-12-19 12:55:17
152,245,0.875,30,-1,-1,-1,1,-1,2020-12-19 12:56:47
153,244,0.5,10,-1,-1,-1,99,-1,2020-12-19 12:57:36
154,243,87.5,27,-1,-1,-1,50,-1,2020-12-19 12:58:29
155,241,75,30,-1,-1,-1,99,-1,2020-12-19 12:59:36
156,247,0.875,28,-1,-1,-1,50,-1,2020-12-19 13:00:03
157,257,0.333333,30,-1,-1,-1,99,-1,2020-12-19 13:00:23
158,260,1,30,-1,-1,-1,99,-1,2020-12-19 13:01:08
159,251,0.875,28,-1,-1,-1,99,-1,2020-12-19 13:01:13
