instance,alg,candName,targName,conf,realConf,order,AMC_Token_Path,Ontobuilder_Term_Match,WordNet_Jiang_Conrath
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item.unitOfMeasure,PO.POLines.Item.uom,0.49998,1,1,0.449700326,0.49998,0
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item,PO.POLines.Item,1,1,2,0.536263764,1,1
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item.unitPrice,PO.POLines.Item.unitPrice,1,1,3,0.724999964,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact,PO.Contact,1,1,4,0.47912088,1,1
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item.quantity,PO.POLines.Item.qty,0.292142857,1,5,0.505982935,0.292142857,0
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact.contactName,PO.Contact.contactName,1,1,6,0.621428609,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.postalCode,PO.POBillTo.city,0.49998,0,7,0.36609146,0.49998,0.03362854
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street1,PO.POShipTo.street1,1,1,8,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street1,PO.POBillTo.street1,1,0,9,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact.contactName,PO.Contact.contactEmail,0.613333333,0,10,0.442490846,0.613333333,0.536468706
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street2,PO.POShipTo.street2,1,1,11,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact,PO.Contact.contactPhone,0.607705628,0,12,0.47380954,0.607705628,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact.telephone,PO.Contact.contactPhone,0.397623858,1,13,0.552425086,0.397623858,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street3,PO.POShipTo.street3,1,1,14,0.53681314,1,1
