session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5fddd6a2fd725a4c5af530d0,5d76382c6cb89d0001fc024c,APPROVED,38:51.5,56:43.4,1071.899,25,78,1,100,44:22.8,20E7C955,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
5fddd6bc559f434c452acb7b,5f3cf8a1770d28bb1810ec59,APPROVED,32:31.3,39:39.5,428.216,24,34,0,100,44:26.0,20E7C955,South Africa,South Africa,DATA EXPIRED,English,South Africa,Male,DATA EXPIRED
5fddd6c712f16c4bd409bda0,5cf4dfa4a602eb001be2e8c5,APPROVED,32:47.9,51:56.7,1148.783,66,552,1,100,44:29.4,20E7C955,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
5fddd736c2bdeb4b5476bfe1,5e760da65952c917891efe21,APPROVED,34:32.9,42:54.3,501.386,33,184,4,96,12:14.6,NOCODE,Canada,Canada,Other,English,Ireland,Male,No
5fddd76a3261cf4a8eb0a48f,5f01aea32054260172c4ec11,APPROVED,35:57.3,47:07.1,669.792,39,144,0,100,44:33.5,20E7C955,Australia,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
5fddd7b5fef4d145a2e0bffe,5e8344e8e0a2e405e0bd5e6f,APPROVED,36:37.6,44:17.5,459.91,21,104,1,100,44:36.9,20E7C955,China,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,Yes
5fddd7cf90279e4b8c6b38df,5ca8eaf9bd0f9e0001c7d7fa,APPROVED,42:17.4,27:22.2,2704.822,29,599,1,100,44:40.1,20E7C955,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,No
5fddd7f3a6a9ed46c09e1d03,5e79f9e323a65202fa307222,APPROVED,37:43.4,45:20.0,456.636,24,321,4,99,44:44.2,20E7C955,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5fddd8146079e1457d7d45cc,5f3a4e06adbc8961b957b26d,APPROVED,38:17.1,47:11.7,534.559,33,67,1,100,44:47.7,20E7C955,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
5fddd859c392154af3d64a42,5fd37bf36c2b4c05e369b04d,APPROVED,39:25.0,57:22.7,1077.79,,9,2,92,44:50.8,20E7C955,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED
5fddd896b91fb24b647a79fd,5fbe486e8101ae338a2f9ddb,APPROVED,40:25.9,52:10.5,704.616,52,102,1,99,44:53.8,20E7C955,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
5fddd8c4a3bc654ae06f2e8d,5f2d56d2cfb4302e3cf45d17,APPROVED,41:11.5,51:27.0,615.557,68,127,2,99,44:57.1,20E7C955,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,DATA EXPIRED
5fddd8d6e766bb4bb1e3d64f,5eafd54c4f8d66000ad64e14,APPROVED,41:26.5,52:26.4,659.872,24,321,4,99,45:00.2,20E7C955,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes
5fddd90d7e067a468283fd78,59634af44d00a70001bf38bd,APPROVED,42:28.2,57:35.8,907.544,41,548,14,96,45:03.8,20E7C955,Ireland,United Kingdom,Full-Time,English,Ireland,Female,No
5fddd96f83f6af45e15234d6,5eee5ac3ea75140a23d3796b,APPROVED,43:59.6,58:05.0,845.396,20,94,0,100,45:08.5,20E7C955,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
5fddd9c2657659465d7884c4,56ab6fd869b24700065cbdbd,APPROVED,45:26.1,54:48.4,562.352,53,1426,9,100,45:11.7,20E7C955,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
5fddd9c8a60b5b4bd640a8d1,5f329b61a72cca07544cf0ec,APPROVED,45:37.3,56:15.1,637.89,21,291,1,100,00:20.7,20E7C955,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes
5fddda0add8cf145f5f2c200,5ef3d753f2caff184ad490bc,APPROVED,46:42.1,02:53.1,971.007,26,253,0,100,45:18.0,20E7C955,Malaysia,United Kingdom,Full-Time,English,Malaysia,Female,Yes
5fddda24a6a9ed46c09e1d0d,5fcab6b8d115ef77ed08b4c0,APPROVED,47:03.1,11:03.9,1440.793,34,62,0,100,45:21.3,20E7C955,Austria,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
5fddda80b939ed4c971b8668,5fb3fbf805d41b03a9319987,APPROVED,48:35.0,03:10.7,875.741,25,48,1,100,03:26.3,20E7C955,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
